date,day_of_month,weather_main,weather_icon,weather_description,dailyMinTemp,dailyMaxTemp,total_snow_inches,day_of_week
2025-03-19,19,Snow,13d,snow,24.51,41.97,0.187007975,Wednesday
2025-03-20,20,Clouds,04d,overcast clouds,22.06,54.91,0.0,Thursday
2025-03-21,21,Clouds,04d,overcast clouds,26.26,48.51,0.0,Friday
2025-03-22,22,Clouds,04n,overcast clouds,31.28,57.69,0.0,Saturday
2025-03-23,23,Clouds,04d,overcast clouds,29.35,53.44,0.0,Sunday
